ネタメモ：ゾーニング,,
12,たとえば営業時間後に1時間かけてたSNS原稿3分で書けたらどうです？,
13,AIを現場の一員として働かせること,
14,毎日の発信、口コミ返信、料理の説明文…考えることをAIに指示するだけで楽になります,
15,"あくまで働くのは人。でも考えるのはAIでもいい。
そう思えるだけで視野が変わります",
16,あなたの時間と労働力を守れるのは意外とこの子かもしれませんよ,
17,"とりあえず今やってるルーティン作業の中に
AIで置き換えられるものがないか1つ探してみてください",
,,
ネタメモ：今もコロナ前と同じやり方してる店　変わらないことがリスク,,
シーン,①セリフを考える（ライティング）,
1,まさかコロナ前と同じやり方まだ続けてるんですか？,
2,「あの頃はうまくいってたのに…」って、心のどこかで引きずってません？,
3,気付かんうちに時代のスピードに置いて行かれてるお店増えてます,
4,成功体験を守ることが今はリスクなんです,
5,お客様が離れていっても理由がわからんまま静かに売上が削れていきます,
6,"「変えなあかんのはわかってる」
でも気付けば昨日と同じ営業してませんか？",
7,"流石に無理もないです
忙しさに追われたら変える余裕なんて持てないですから",
8,でも余裕がずっとできてないの気付いてるでしょ？,
9,変化って特別なことじゃなくて今や当たり前なんです,
10,今日のリールでは変わることを習慣にする方法を教えちゃいますね,
11,実は成功するお店って毎日ちょっとだけ変えてるんですよ,
12,"例えば下りのエスカレーターに立ってるだけじゃどんどん下がって行きますよね？
「現状維持がいい」って言ってる人も少しずつ歩みを続けないとダメな時代なんです",
13,それに変化って売上アップのためじゃなくてお客様の期待に応え続けるためです,
14,"すぐ取り入れれることやと毎月1つだけメニューを入れ替える
それだけでもお客様の反応は変わります",
15,"昨日と違うことを1つやってみる
それを続けるだけでお店は変わり始めます",
16,"やるべきは大改革じゃなく止まらないこと
変化は続ける人だけの特権です",
17,1回「今のままでほんまにええんか」って真剣に自分に問い直してみてください,
,,
ネタメモ：竹矢匠吾が思う飲食店経営のやりがい,,
シーン,①セリフを考える（ライティング）,
1,飲食業は最高の仕事です,
2,でも正直仕事は大変やし修行時代は何度も心折れそうになりますよね,
3,その上経営してみると経理や人事とか習ってきてへんことばっかりやし,
4,そんな大変な飲食でもほんの一瞬お客様の感謝やスタッフの成長が見られた時に何にも変え難いやりがいになるんです,
5,これは僕が思う飲食業のやりがいで人それぞれ思う部分があるかもしれません,
6,それくらいあなたは飲食に対し本気で大好きな仕事なんですよね,
7,今日はなんのノウハウでもなくこの業界への僕なりの思いを共有します,
8,いろんなお仕事があるけどそのなかでも複雑な飲食業,
9,"他産業が絡み合うわ
キャッシュフローもとにかく早いわ
マルチタスク求められるわ
そりゃ廃業率も高くなりますよね",
10,でもそんな危険をかえりみずにこの業界入ったってことは同じ気持ちの仲間なんです,
11,たしかに難しくて暗い話も多いですがやっぱり業界の人同士で会うとみんな最高に幸せそうです,
12,これは飲食店は感謝の循環で幸せホルモンに覆われ続けてるからなんです,
13,"感謝する、感謝される
これこそがみんな幸せにロマンを追い続けれる現状だと思います",
14,"せっかくこんないい仕事してるんです
わざわざピリついた職場にしたり",
15,"必要以上に怒鳴ったりせずに
いち仲間と思えば競合他社さんとも手取り合っていけそうとちゃいますか？",
16,"考えは甘すぎるかもしれないですが
業界の全員を敵視したくなくて業界で一緒に頑張る隣人に思いたいんです",
17,みんなで飲食業をもっとより良い業界にしていきましょう,
,,
ネタメモ：家族経営の強み,,
シーン,①セリフを考える（ライティング）,
1,「所詮家族でやってるお店やろ？」って思われてるうちはまだ武器にできてません,
2,毎日一緒にいるからこそ家族のすごさに気付かなくなってませんか？,
3,「仕事やから仕方ない」って強みを活かすどころか消してるかもしれません,
4,それ他のお店にはない最強の土台ですよ,
5,一番の強みを当たり前って片付けてるうちに他のお店に追い抜かれていきます,
6,"本音は伝わってるつもりで
伝える努力をサボってしまってることありませんか？",
7,僕も家族と一緒にやってるからこそ「言わんくてもわかるやろ」で何回もぶつかりました,
8,家族やから放っておいても通じるなんてことはありません,
9,家族経営って信頼関係作りに時間がいらん最強の経営形態です,
10,他の店には真似できない家族やからできる経営も存在します,
11,"一般の店舗はまず「信頼づくり」から始めますよね？
でも家族はそれが最初からあるんです",
12,"たとえば1日休むって言ったとき相手が信用してくれる前提って
これ実はすごいことなんです",
13,"でもうまく家族経営を武器に出来ていない方
ちゃんと強みにするコツは「強みを言語化して共有すること」です",
14,たとえば連携が強さが発揮されてるのはどんな時かまで言葉にしてみる,
15,感覚でやってきたことを言葉にするだけで見えるようになります,
16,"家族やからこそ感覚を言葉にする
その一歩が武器にするためのスタートです",
17,まずは今日家族で「うちの強みって何やろ？」って1つだけ話してみてください,
,,
ネタメモ：飲食経営に感情は要るのか？やりがいだけでは勝てない時代,,
シーン,①セリフを考える（ライティング）,
1,飲食店経営は「やりがい」や「想い」では潰れます,
2,毎日頑張ってるのに、なぜか売上は横ばいのまま,
3,"その原因
感情で経営判断してるからかもしれません",
4,経営は「好き」や「想い」じゃ数字にならないんです,
5,"「想いはあるけど利益が出ない」まま続けて
気が付いたら閉店の2文字が見えてくる",
6,売上や利益の話になるとなんとなく避けてしまう自分いませんか？,
7,僕も昔数字の話になると「なんか苦手」で後回しにしてました,
8,でも逃げてたのは数字じゃなくて現実だったんですよね,
9,経営って感情と分けて考えた方がうまくいくんです,
10,今日のリールでは気持ちだけに頼らず仕組みで安定させる方法を紹介します,
11,経営が気合い頼りやとそのうち心も体も限界を迎えます,
12,,
13,感情を否定するんじゃなく数字で支えることが必要なんです,
14,"たとえば毎月1回
「売上・人件費・原価」の3つだけ見直してみてください",
15,最初は難しくても数字に触れるほど判断はシンプルになります,
16,経営って情熱で動き数字で守るものなんです,
17,"まず今日だけでもいいので「売上」「人件費」「原価率」の3つを手書きでノートに出してみてください
数字に触れる癖から経営は変わり始めます",
,,
ネタメモ：撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方,,
シーン,①セリフを考える（ライティング）,
1,一等地にお店を構えると潰れます,
2,毎月の家賃が重すぎて売上はあっても利益が残らん,
3,立地に救ってもらおうとするほど現場が疲弊していきます,
4,立地は武器だけじゃなく足かせにもなるんです,
5,"家賃のために営業時間を伸ばしてスタッフは辞める
気づけばあなたひとりが店に立ち続けることになります",
6,物件探す時も他の条件より「とにかく立地優先」で決めてきたことありませんか？,
7,「ここなら人が来る」って期待だけで契約した人実は多いんです,
8,でも通行人が多いだけでFLRが合わなければ意味がないんです,
9,飲食経営に必要なのは始めやすさじゃなく生き残りやすさです,
10,このリールでは立地を「家賃」だけじゃなく「FLR」で見極める視点をお伝えします,
11,最初に注目される立地と何年後も必要とされ続ける立地はまったく違います,
12,たとえば渋谷の交差点と地元で愛される定食屋どっちが残ってますか？,
13,生き残る店は立地を「家賃」じゃなく「FLR」で見てます,
14,FLRとはフード・レイバー・レント（食材・人件費・家賃）のバランスのこと,
15,いくら一等地でもFLRが70％を超えてたら利益はまず残りません,
16,立地は「高いか安いか」じゃなく「利益が残る範囲か」で選ぶべきです,
17,"物件を探す時は家賃じゃなく「FLRで利益が出るか？」まで必ず計算してみてください
その視点があなたのお店をちゃんと残るお店に変えてくれます",
,,
ネタメモ：繁盛してる風に騙されるな　1日100人来ても、潰れる店がある理由,,
シーン,①セリフを考える（ライティング）,
1,あの繁盛がなぜ閉店に追い込まれるのか知ってますか？,
2,"お客様は多いのになぜかお金が残らない
そんなお店多いですよね",
3,売上があっても経費でマイナスになってるんです,
4,どれだけお店が忙しくても経営は経費全体のバランスが崩れてたら潰れます,
5,"売上はあるのに赤字が積み重なっていく
気が付いたら手元に残るのは借金と疲労だけです",
6,"「こんだけ忙しいんやから大丈夫」って
最近ちゃんと利益を見た記憶ありますか？",
7,売上あるのに口座の残高が増えてないこと薄々気付いてますよね？,
8,でも忙しさに紛れて考える余裕すら奪われてるんです,
9,忙しいお店＝うまくいってるとは限りません,
10,賑わってるのに閉店する店の共通点がちゃんとあるんです,
11,スタッフも自分も疲れてるのに手元に何も残らないお店,
12,たとえば1日100人来てもFLR80％じゃ残りませんよね？,
13,結局月末に何が残ってるかだけが経営です,
14,領収書じゃなく口座の残高と向き合ってみてください,
15,FLRだけと思ってたら大間違いで水道光熱費や廃棄もじわじわ効いてきます,
16,お金が残ってる店は日々の支出を見える化して小さな赤字を潰してます,
17,"明日から1週間「何にいくら使ったか」だけでも紙に書き出してみてください
気付かなかった消えてるお金が見えてきます",
,,
ネタメモ：マクドナルドから真似すべき戦法,,
シーン,①セリフを考える（ライティング）,
1,マクドの利益って実はハンバーガーじゃなくてポテトなんです,
2,ハンバーガーって入口商品でお客様を呼び込むためのきっかけです,
3,でもそこで終わらせず絶対と言っていいほどポテトとドリンクの注文を取れるように作ってます,
4,単品じゃなくセットで買ってもらってるから儲かるんです,
5,"マクドはLセット1つで数百円の利益が出るように組まれてます
でもあなたのお店はどうですか？
 単品ばかりで回せば回すほど消耗してませんか？",
6,メニューごとの利益最後にちゃんと見直したのっていつですか？,
7,原価も手間もかかるのになぜか一番売れてるメニュー思い当たりませんか？,
8,「もうちょっと考えなあかんな…」って分かってるのに後回しにしてきたんですよね,
9,マクドはまとめて出すことで1オーダーで利益を取りきってます,
10,注文が入るたびにどれだけ残るかを考える習慣を話します,
11,料理を出すたびに実は利益が減ってるとしたらどうしますか？,
12,"たとえば大盛り無料のサービス
出すたびに赤字になってないですか？",
13,利益を出してるお店は単品じゃなくセットで取れるメニュー構成にしてます,
14,"たとえば原価が安くて出数が多いメニューと
利益が出る一品を一緒に出してます",
15,おすすめは「注文が入ったら必ず一緒に頼まれる組み合わせ」を作ること,
16,利益が残ってる店は商品じゃなく売り方を変えてるんです,
17,「回してるだけ」の毎日から「残るための一手」を持つ毎日に変えていきましょう,
,,
ネタメモ：始めるより、撤退が上手い店が勝つ,,
シーン,①セリフを考える（ライティング）,
1,飲食店は「始める」より「やめる判断」で命運が決まってます,
2,「ここまで続けたんやから」「もう少しだけ」って気持ちめっちゃ分かります,
3,でもやる気で引っ張っても赤字は止まってくれません,
4,経営は、気持ちより数字を優先するものなんです,
5,売上が足りんままズルズル続けて気づけば借金だけが残ります,
6,撤退って聞くだけで思考が止まりそうになる感覚ありませんか？,
7,撤退ってなんか負けとか恥って感じてしまうんですよね,
8,でも無理を続けた結果の破産の方がもっと取り返しがつきません,
9,続ける判断よりやめる決断のほうが難しいんです,
10,もしもの時「勇気を持って引くこと」がどう経営を救うかを解説します,
11,たとえば月30万の赤字を半年続けると180万が消えていきます,
12,もしそのお金を使わずに撤退していれば次の一歩が踏み出せていたかもしれませんよね,
13,大きな赤字が出続けてる月が3ヶ月続いたら一度止まって見直すこと,
14,家賃や人件費を引いて「毎月いくら残ってるか」をまず数字で出してください,
15,そこから続ける選択も撤退する判断も冷静に比べてください,
16,決断するのは勇気じゃなく事実を見た人間だけです,
17,"もう一度全経費を見直し
毎月いくら減ってるかを自身が把握できるように紙に書き出してみてください",
,,
ネタメモ：オーナーしか作れない属人料理,,
シーン,①セリフを考える（ライティング）,
1,"「この料理は自分にしか作れない」
そう言ってる時点でもうそのお店の未来は詰んでるかもしれません",
2,忙しい時ほど自分がキッチンに入らんと回らんわって日何回ありましたか？,
3,他の人に任せると味や盛りつけが気になって結局自分がやる,
4,でもそれって料理が強いんじゃなくて仕組みが弱いってことなんです,
5,"自分が体調を崩しただけで店が止まる
休みも取れずに家族の時間も削ってきたのに
いざ動けなくなった瞬間お客様も離れていきます",
6,"「マニュアル作らな」って思ってるのに
いざ調理任せるとクオリティが気になって結局自分で全部やってませんか？",
7,"他人に任せて味がブレるてクレームになるぐらいなら
自分でやる方がマシって思っちゃいますよね",
8,でもその考えが自分をずっと抜け出せない現場に縛ってるんです,
9,料理ができることとお店を回せることはまったく別のスキルです,
10,「任せても味が保てるお店」に変わるためには何から始めたらいいか考えたことありますか？,
11,"料理があなたの手でしか再現できないなら
それはサービスじゃなく作業です",
12,たとえばレシピはあるのに分量は感覚だけで伝えてたらどうなりますか？,
13,まず誰が作っても同じ味になるチェック項目を作ることが重要です,
14,"たとえば味付けなら〇〇g
〇〇分加熱みたいに感覚じゃなく数値で書き出しましょう",
15,さらに盛りつけも写真で残して自分の目じゃなく誰が見ても分かる形にすることです,
16,オーナーの勘を現場に残せるかどうかこそが任せられるお店になる分かれ道です,
17,"まずは一番よく出る料理1つだけでいいので
分量・加熱時間・盛りつけ写真まで全部紙に見える形にしてください",
,,
ネタメモ：一見客で回す飲食はいつか潰れる,,
シーン,①セリフを考える（ライティング）,
1,一見客しかいないお店は長続きしません,
2,「今月は集客うまくいったわ」って安心してませんか？,
3,"SNS・チラシ・広告
とにかく新規を追い続けてますよね",
4,でもそのお客様来月も来ますか？,
5,"一見客頼りのままやと売上はいつも初回分で止まります
それやと未来の売上が積み上がらんくなりますよ",
6,ほんまは来てくれたお客様が次来てくれてるか把握できてないですよね？,
7,現場はちゃんと忙しいのに月次締めでは毎月同じ不安が残ってませんか？,
8,また来たいって言わせる力が全然育ってないんです,
9,せっかくお客様入ってくれてるに2回目来る理由がなかった場合静かに去っていかれます,
10,常連のお客様が1人いるだけで来月の売上は0スタートじゃなくなるんです,
11,"集客だけのお店は広告が止まれば売上も止まる
常連がいるお店は紹介も口コミも自然に生まれる",
12,"リピーターのいないお店は毎日が初対面の勝負しないといけません
常連がいるお店は信頼の貯金で回す経営なんです",
13,リピーターを作れないお店は売上が毎回リセットされるの不安で仕方ないですよね,
14,"まずはまた来るきっかけを仕込んでください
メニュー・会話・導線
どこかに「次」を入れてますか？",
15,"1週間に1回常連向けトークを現場で必ず使ってください
「また金曜空いてたら来てくださいね」だけでも変わります",
16,"忙しくてそこまで気が回らなかったわって方
1回の価値を上げるだけで将来の経営が大きく変わります",
17,リピートがないのは決してお客様のせいじゃないんですよ,
,,
ネタメモ：スタッフが辞めるのは、給料のせいだけじゃない,,
シーン,①セリフを考える（ライティング）,
1,"給料を上げても、スタッフは辞めます
極論に聞こえるかもしれませんがこれは現実です",
2,上げたのに辞められたんやけどなんで？って思ったことないですか？,
3,頑張って評価制度を整えて昇給も反映したのに,
4,でも辞めた理由は「給料」じゃないんです,
5,"給料上げても感謝されへん
評価も届かん
最終的にスタッフが静かに辞めていって
最後には「何のためにやってんやろ」って社長が疲弊します",
6,"最近スタッフからの報告・相談減ってません？
それ辞める前兆かもしれません",
7,"給料で繋ぎ止めようとして失敗したことある経営者は多いんじゃないですかね？
これは実際僕もありました",
8,「どうしていいかわからん」って…あの頃は何が正解か分からんかったんですよね,
9,でもこの「わからん」を放っといたら現場は壊れていきます,
10,このあと話すのは「なんで辞めるかわからん」ってモヤモヤにちゃんと名前をつける話です,
11,給料は満足を生んで、定着を生むのは関係性と未来の約束です,
12,"給料ってコンビニ弁当みたいなもんで手っ取り早くお腹満たされても
あったかい手作り弁当には勝てないです
人も同じで気持ちで繋がってるかが大事です",
13,リクルートの調査ではスタッフが辞める理由の約60.3%は給料以外と出ています,
14,"また厚労省の調査では辞める人の多くに共通しとるのはこの4つがある場合
3ヶ月以内の離職率は60%以上と言われています
①感謝されてない（≒心理的報酬の欠如）
②成長できてないと感じる（≒内発的動機の枯渇）
③入社初期に放置されてる（≒オンボーディングの欠如）
④誰にも相談できない（≒心理的安全性の不足）",
15,まずは辞めない理由をお店で作りましょう,
16,"方法は
感謝や承認が仕組みとしてある→週次フィードバック
成長を感じられる見える化→キャリアロードマップの作成
入社90日間の定着サポート→これで定着率改善した実例もあります
相談できる関係性が育ってること→メンター制度やバディ制度",
17,"これがあると辞めないどころか
誰かを連れてくる組織になります",
,,
ネタメモ：地域密着型店舗の落とし穴,,
シーン,①セリフを考える（ライティング）,
1,「常連さんがいる＝安定」って思ってるならゆっくり終わりの階段下ってます,
2,うちのお店は地元密着型で人に支えられてるから大丈夫って思ってませんか？,
3,"メニューも変えてない、SNSはほとんどやってない
しかも店内の空気も常連向けになってへん？",
4,それ新規のお客様からしたら入りづらい空気なんです,
5,"飽き、引越し、高齢化などで常連さんはいつか来なくなります
新規は「入りづらい店」認定した瞬間二度と入らへん
気づいた時には店は静かに終わりかけてる
でももうその時には立て直す体力は残ってないはずです",
6,「最近あの常連さん…来てへんよな」って思い当たる人いません？,
7,"僕がコンサル入ったある店のGoogleにこんな口コミついてたんです
「常連対応ばかりで初めて来た客には冷たかったです」★1
それ見た瞬間「このままじゃ潰れる」って思いました",
8,"でも今までのを変えたら常連さんが離れるかもって怖いのもわかる
でもそれ以上に未来のお客様が消える方がかなり危険なんです",
9,"地域密着型店舗は、今を守ることと未来をつくることは両輪で回さなあかん。
どっちか欠けたら店は潰れます",
10,常連に甘えず「未来の常連」を育てる方法をちゃんと説明します,
11,"常連ばかり見てる店は顔見知りで固まった居心地のいい空間
未来の常連を育てる店は初めての人がまた来たいと思える空間",
12,"どっちも一見良さそうに聞こえますよね
でも安心は常連を呼ぶけど
配慮は新しいお客さんを連れてきます",
13,未来の常連はこっちが迎える準備をしてないと二度と来てくれないです,
14,"今日からできることやと新規のお客様に最初のひと声で「初めてですか？」と歩み寄ってください
そのひと声だけで「歓迎されてる」って感じてもらえます",
15,"その上で僕がおすすめしたいのが指南書メニューです
メニューの最初のページに「はじめての方へ｜迷ったらこの3品」って載せてみてください
スタッフがそのページを開いて案内するだけで
初めての人が「この店なんか親切やな」「また来たいな」って自然に感じられるます
これが未来の常連を育てる種です",
16,"初回来店の満足度が上がると次につながる確率って一気に上がるんですよ
だから初回対応はほんまに大事です",
17,"とはいえお客様の不安をほぐすのはメニューより先にあなたの言葉です
今日お声がけから始めてみてください",
,,
ネタメモ：開業3年以内に潰れる飲食店の共通点「自己流」は99％破滅の道,,
シーン,①セリフを考える（ライティング）,
1,自己流のお店は99%潰れます,
2,開業したての頃って自分のこだわりで勝負したくなりますよね,
3,"SNSで「これめっちゃ美味しいです！」って自分の好みだけで発信して
メニューも何となく好きなものばっかり並べてませんか？
それぜんぶプロダクトアウトです
",
4,自分がいいと思うだけではお客様にお店の良さは伝わりません,
5,"好みで固めた料理が売れへんわ理由も分からんわ
でも味は間違ってへんはず、で思考停止
そのまま3ヶ月、半年……気づいたら赤字の沼にハマるのが関の山です",
6,「なんで向かいのあの店、普通の料理やのに人気なんやろ…」って思ったことないですか？,
7,僕も現場で料理やってた頃は「料理さえ美味しければ売れる」と思ってました,
8,でもそれって「お客様にどう届いてるか」を考えてなかっただけでした,
9,料理がうまいのは大前提でお客様が食べたいものを出してるかどうかが重要です,
10,今日はこのプロダクトアウトとマーケットインの違いを経営視点で話します,
11,"プロダクトアウトは自分の出したいものをベースに料理を決める考え方で
マーケットインはお客さんの欲しいものから逆算して料理を作るやり方です",
12,"プロダクトアウトやと売れん理由が見えへんから
「料理を変える」「価格を下げる」って迷走しがちです
でもマーケットインやと何が原因かがちゃんと見えるから改善点が明確です",
13,経営って「誰に、なんで選ばれるか」がわかってるかどうかでぜんぜん変わるんです,
14,"味にしか目が向いておらず、メニュー名が自分視点のこだわり満載
その上選ばれる理由を言語化できてない
これ自己流で開業した人の9割がやって失敗しています",
15,「この料理誰のため？」って自分に問いかけてみて選ぶ理由が浮かんだらマーケットインのスタートです,
16,"最初は「お客さんの気持ちなんてわからん」って悩むかもしれません
でも1人に刺さる料理を意識して商品開発してたら「それめっちゃ美味しそうやん」って反応が返ってくる瞬間絶対あります
その一言が次の商品を変えるきっかけになります",
17,迷ったらまず「誰のための一皿か」を自分に聞いてみてください,
,,
ネタメモ：オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？,,
シーン,①セリフを考える（ライティング）,
1,社長は現場に入るな！って散々言ってますが、今日はもう少し深掘りしましょう,
2,まだ「自分が一番売上を作れる」って思ってませんか？,
3,でも売上を作るための仕組みづくりが止まってるならそれは逆効果です,
4,目の前の売上を作ってるうちは未来の利益は育たないです,
5,"いつまで経っても社長だけ忙しい店になって
採用も教育も改善も全て止まる
気づいたら「伸びない理由」が全部社長が原因になってる
なんて将来は嫌ですよね？",
6,正直僕も最初は全部自分で見てないと不安だったタイプです,
7,ほんまはスタッフ信じて任せたいけど「もしミスったら…」って考えるとゾッとしますよね,
8,"現場を回すのは社長の本当の仕事じゃないです
店が勝手に回る状態を作るのが経営者の仕事です",
9,,
10,"でもその間誰も育たんかったんですよ
数字も伸びんかったんやけど
やっと原因が分かったんです",
11,"現場に立ってるうちは売上は自分の労力で生まれるんです
働けば働くほど数字はつくけど体力が尽きた瞬間にその売上も止まってしまいますよね",
12,"でも現場から一歩引いて「人と仕組み」で回る状態をつくれたら
自分が動かなくても利益が積み上がるほんまの経営に変わるんですよ",
13,"現場に入ってしもてる社長は自分が歯車になってる機械
経営者は歯車を設計しなおす設計者です",
14,"現場に入ってるとスタッフ育たへん
オーナーが倒れたら売上も止まる
思考・戦略・仕組み作りが後回しになる",
15,"まずは自分がいなくても売れる1日を作ってみてください
売上より仕組みが利益をつくる日が来ます",
16,一歩引いたら見える景色が変わるので「育つ現場」に変わったとき利益は自然と伸びていくようになります,
17,"今日自分が店に立たないとどうなるかあえて試してみてください
それが経営の第一歩です",
,,
ネタメモ：最強の戦略は凡事徹底,,
シーン,①セリフを考える（ライティング）,
1,飲食店経営上手く行かせたい人、凡事徹底ですよ,
2,スタッフも頑張ってるのに売上だけが下がってるあの焦り経験したことないですか？,
3,"メニューも改善したし接客も指導したしSNSも更新してる
それでも売上が横ばいなときイライラしてまうわな",
4,でもその圧が凡事の質をどんどん崩してるかもしれません,
5,"急がせた分だけ盛りつけが雑になる
焦らせた分だけ笑顔がなくなる
怒鳴った次の日スタッフが一人辞める",
6,"スタッフに「気を抜くな」って言ってるとき
一番基準がブレてるのは自分かもしれません",
7,"僕もお恥ずかしい話
声を荒げることでマネジメントしてました",
8,でも本音では「うまく育てられてない自分」が一番悔しかったんですよね,
9,凡事を徹底するって「誰でもできることを誰よりも続ける」ことです,
10,"今日はその凡事
特にQSC（味・接客・清潔）のどれかが崩れたとき
店がどう傾くか
どう立て直せるかを話します",
11,"売れるお店は「味・接客・清潔感」にバラつきがなく
売れへんお店はこの3つのどれかが日によって崩れてます",
12,"飲食店経営って車の運転と一緒で
エンジン、ハンドル、ブレーキどれか一個でも壊れてたらまっすぐ走られへんわな",
13,"QSCは基礎の徹底
凡事徹底とは「普通のことを、異常なレベルでやり続ける」ってことです",
14,"味は感覚で出してるから人によって違う
忙しい日は接客を後回しにしてる
掃除の判断が「見た目」で終わってる
",
15,"今日からやってほしいのは、「全スタッフで共有できるQSCの定義」を言語化・定量化することで
基準がズレたままやと誰も本気で改善できません",
16,"実は派手な改善よりズレを整えることの方が難しいんですよ
でもそれができたお店だけが安定して売上を伸ばしてるのが現実です",
17,"まずは「うちのQ・S・C、それぞれ何点？」って自分で点数つけてみてください
リーダーが整えば現場は勝手に整っていきます",
,,
ネタメモ：飲食店経営は数字が全て　でも数字の裏には人がいることを忘れるな,,
シーン,①セリフを考える（ライティング）,
1,数字の裏には人がいることを忘れてはいけません,
2,"「数字が大事なのは分かるけどなんか最近現場がギスギスしとるな…」
そんな空気感じたことないですか？",
3,まさか売上が下がるたびに現場スタッフに詰めてへんよな？,
