No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,口コミで反論,口コミにカッとなって反論したことあるオーナーさん、それ、自分で自分の店の寿命縮めてますよ。,理不尽なこと書かれたら、言い返したくもなりますよね？なんでこんなこと書かれなあかんねん！って。,「事実と違います！」とか「うちはそんなことしてません！」って、ついコメントで戦ってしまうこと、ありませんか？,でもそれ、絶対やったらあかんのです。,「オーナーが客と喧嘩する店」って噂が広まって、気づいたら誰も寄り付かんようになってますよ。,ほんまは、こんなことで揉めたくない。ただ、店の名誉を守りたかっただけや…って思ってません？,一生懸命やってるのに、心ない一言で全部否定された気がして、悔しいんですよね。その気持ち、めっちゃわかります。,でも本心では「反論しても何もええことない」って、うすうす気づいてるんちゃいます？,その悔しさは大事やけど、感情で動いたら他のお客さんは静かに離れていくだけなんです。,今日は、マイナスの口コミを逆にチャンスに変える『神対応』のやり方、具体的にお伝えします。,反論して火に油を注ぐ店と、感謝を伝えてファンを増やす店。どっちが生き残るかなんて、もうわかりますよね。,口コミ欄って、リングの上やないんです。お店の『器の大きさ』を見せるための舞台やと思ってください。,ええですか、口コミは反論する場所やない。誠実さを見せて、信頼を積み上げるチャンスの場所なんです。,ポイントは3つだけ。「まず謝罪」「次に事実確認」そして「改善策の提示」。これだけでええんです。,たとえ事実誤認でも、まずは「ご不快な思いをさせてしまい申し訳ありません」から始める。この一言があるかないかで、周りの見る目が全然変わります。,カッとなった気持ちをぐっとこらえて、一呼吸おく。その冷静な判断が、あなたのお店を炎上から守るんです。,マイナスの声こそ、成長のヒント。しっかり受け止めて、もっとええ店にしていきましょ。,オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;加工品を賢く取り入れる;立地選び　一等地信仰が危ない理由;CFの8つの型で自店の経営状況の判断を;売上が下がったときは割引じゃなく販路を増やせ
2,客単価の上げ方,客単価の上げ方を、ただの値上げやと思ってるなら、それ三流の考え方ですわ。,「値上げしたらお客さん来んようになるんちゃうか…」って、夜中に一人で悩んでません？,とりあえず人気メニューの値段を100円上げてみたり、無理やりセット作ったりしてません？,それ、お客さんに見透かされてますよ。,このままやと、「なんか高くなっただけ」って思われて、常連さんから静かに離れていかれます。,ほんまはもっと価値を届けたいのに、日々の売上に追われて「どうやって値段にしたらええんや…」って立ち止まってません？,分かります。僕も昔、原価と睨めっこしながら値上げのタイミングばっかり考えてましたわ。,でもあれ、お客さんの顔色をうかがってたんじゃなくて、自分の商品への自信のなさと向き合うのが怖かっただけなんですよね。,その気持ち、痛いほど分かります。でも、その考え方やから客単価が上がらんのです。,今日は、お客さんが「この値段でも安いくらいや！」って喜んで払ってくれる、価値の伝え方について話します。,ただ値上げする店と、価値を上げて価格を「適正化」する店。1年後、笑ってるのはどっちやと思います？,普通のハイボールを50円上げるより、「うちでしか飲まれへん特別なハイボール」を100円高くする方が、お客さんは納得してくれるんです。,結論、客単価は上げるもんやない。価値を伝えた結果、「自然に上がる」もんなんです。,ポイントは3つ。メニュー名にストーリーを入れる、接客でこだわりを語る、そして体験そのものをデザインすることです。,まずは一番人気のメニューでええんで、「なんでこれが人気なのか」をお客さんに自分の言葉で伝えてみてください。,「そんな話があったんですね！」ってお客さんの目が輝いた瞬間、値段以上の価値が生まれた証拠ですわ。,小手先の数字をいじる前に、まずはお店の価値を信じて伝えてみましょ。,アルバイトがプロになる職場　マニュアルより哲学が共有されてるか？;売上目標の決め方;スタッフに任せる前に、なんでやるべきかの視座を揃える　自由＝放置じゃない;焼肉屋の仕込みの壁を超える仕組みとは;飲食経営に感情は要るのか？やりがいだけでは勝てない時代
3,低単価のお店が勝つ方法,結局、安いお店は強いねん。これ、ほんまの話ですわ。,でも「うちも安売りせなあかんのか…」って、しんどくなってません？,とりあえず原価削って、量を減らして…みたいな安っぽくするやつ。,それ、安いやなくて「安っぽい」だけ。お客さんはすぐ見抜きます。,価値が下がったと思われたら、常連さんも新しいお客さんも静かにいなくなりますよ。,「価格競争はしたくない」「でも高いと来てくれへん」って、板挟みになってません？,わかります。値上げも怖いけど、値下げはもっと地獄ですもんね。,ほんまは「安さ」で戦いたくないだけちゃいます？,その気持ち大事です。でも「安さ」の定義を間違えたら、お店は潰れます。,このリールでは、価格競争に巻き込まれんと「安くて強い店」になる方法、教えますわ。,ただの安売りと、お客さんが喜ぶ「値ごろ感」は、全くの別もんです。,100円ショップが強いんは、ただ安いからやない。「この値段でこれが買えるんか！」っていう驚きがあるからなんです。,答えはシンプルで、お客さんが使える金額の中に、自分らだけのマーケットを作ることです。,ポイントは3つ。ターゲットの財布を想像する、その範囲で満足度MAXのメニュー作る、そして「お得感」をちゃんと伝えること。,まずは「うちのお客さんは一食にいくらまでなら気持ちよく払えるか？」を真剣に考えてみてください。,安売りで疲弊するんやなくて、「この値段でこれは嬉しい！」ってお客さんに思ってもらう経営、したくないですか？,お客様の財布事情を意識できない店舗から、どんどん顧客離れに繋がりますよ。,POSレジの紹介;今もコロナ前と同じやり方してる店　変わらないことがリスク;人時売上高;あなたの店、SNSやる前に現場の空気が整ってますか？;ゾーニング
4,許認可・手続き一覧（これは台本構成無視でOKです）,煩わしい開業手続き、覚えんでええからこれだけ見といて。知らんかったら営業停止もありえます,保健所？消防署？税務署？どこに何出したらええんか、もうワケわからん…ってなってません？,『まあ、オープンしてからでええか』とか『誰かに聞けばなんとかなるやろ』って軽く考えてません？,それ、一番アカンやつです,いざオープン！って日に『許可おりてません』って言われて営業停止。最悪、罰金払うことになりますよ,ほんまは、料理とか内装とか、もっとクリエイティブなことに時間使いたいのに、書類仕事に追われてイライラしてません？,わかりますよ。僕も最初はチンプンカンプンで、何回も役所に通いましたわ,『こんな面倒なこと、誰か代わりにやってくれへんかな…』って心の底で思ってますよね,でも、お店の主はあなたです。知らんかったでは済まされへんのですわ,今日は、これだけは絶対押さえとかなアカン開業手続きのチェックリストを、時系列でわかりやすく解説します,手続きをスムーズに終えた店と、漏れがあってオープンが遅れる店。スタートダッシュが全然違います,開業手続きって、お店の土台作りと一緒。基礎がグラグラやったら、どんな立派な建物もすぐ傾きます,正解は、開業前から計画的に、順番通りに手続きを進めること。これだけです,特に重要なんは『食品衛生責任者』『営業許可』『防火管理者』の3つ。これはオープン前に必須です,まずは保健所に相談、次に消防署、最後に税務署で開業届。この順番で動けば、大きな間違いは防げます,この面倒な手続きを乗り越えたら、あとは自分のお店でお客さんを笑顔にするだけ。もう一踏ん張りです,手続きは未来への投資です。保存して、一個ずつチェックしていってくださいな,売上目標の決め方;集客に即効性を求めてはいけない;開業してから考えるな　今いるお客さんの視点から逆算しろ;ネット情報の統一化;加工品を賢く取り入れる
5,賄いは税金がかかる,その賄い、まさかタダであげてへんよな？それ、「知らんかった」じゃ済まされへん脱税になるで。,「え、賄いに税金？そんなん初耳やわ…」って思いますよね。,「みんな頑張ってくれてるし、賄いぐらいタダでええやん」って、良かれと思ってやってません？,その優しさが、実は一番危ないんです。,税務調査で一発アウト。追徴課税で何十万、下手したら百万単位で持っていかれますよ。,「うちは個人店やし大丈夫やろ」って、心のどこかで思ってませんでした？,スタッフの腹を満たしてあげたい、福利厚生やねんっていう気持ち、めっちゃわかります。,でも、「これってホンマにセーフなんかな？」っていう小さな不安、ずっとあったんちゃいますか。,その感覚は正しい。でも見て見ぬふりしてたら、ある日突然、痛い目見ることになります。,この後、税務署に怯えずに済む、正しい賄いのルールをきっちりお伝えします。,「福利厚生」になる賄いと、「給与課税」対象になる賄い。この境界線を知らんのは、ほんまに危険です。,賄いって、お店からしたらただの余りもんかもしれへんけど、税法上は「現物給与」、つまりお給料と同じ扱いやねん。,結論、賄いはタダにしたらあかん。ちゃんとルールを決めて、一部お金をもらうのが正解です。,"条件は2つ。スタッフが賄い代の半分以上を払うか、お店の負担額が月3,500円以下であること。",やから今すぐ「1食200円」みたいに価格を決めて、給与天引きの仕組みを作ってください。これが一番シンプルで安全です。,「有料にしたらスタッフの士気下がるんちゃうか…」って心配になりますよね。でも、ルールがない方がよっぽど不信感につながるんです。,「まかない有料化はケチ」やない。スタッフとお店、両方を守るための大事な経営判断です。ちゃんと税法は守りましょう。,夜営業で売上伸び悩んでるお店のソフトドリンクの発想が間違ってる;通販・実店舗・百貨店、全部やるべきほんまの理由は売上じゃなく耐性を作ってる;新卒を採っても育たない本当の理由　教育者が正解を持ちすぎてる;集客の相談より「人」に関する問い合わせが一番多い;竹矢匠吾が思う飲食店経営のやりがい
6,自分の「やりたい」と、お店の「繁盛」は別物,やりたいことやってるうちは、一生人気店にはなれません。,自分のこだわり、お店に全部詰め込みたくなりますよね。,「俺のこの料理、絶対うまいから！」って、自分目線でメニュー開発してませんか？,それ、ただの独りよがりかもしれませんよ。,こだわり抜いたメニューが誰にも響かず、気づけば客席はガラガラ…なんてことになりかねません。,「なんでウチの味、わかってくれへんのやろ…」って、お客さんのせいにしてませんか？,自分の料理に自信があるからこそ、お客さんに届けたい気持ち、めっちゃわかります。,でも心のどこかで、「ほんまにこれでええんかな？」って不安になってるはずです。,そのこだわり、大事やけど、向ける方向がちょっとズレてるだけなんです。,繁盛する店は、自分の「やりたい」より、お客さんの「求めてる」を先に考えてるんです。,自己満の店は「作品」を作って、繁盛店は「商品」を作ってる。この違いですわ。,誰もいない砂漠のど真ん中で、最高のカき氷売っても誰も買いませんよね？それと一緒です。,お客様が求めてなかったら、それはただの自己満店舗なんです。,メニュー名、価格、店の雰囲気。全部「誰が、どんな時に使ってくれるか」を想像して作ってますか？,まずはお客さんに「何があったら嬉しいですか？」って聞いてみてください。答えは全部、現場にあります。,自分のこだわりを曲げるのって、最初はちょっと悔しいかもしれません。,あなたのお店、お客様にとって「使いづらい」になってませんか？「あって良かった」と言われるお店を、一緒に作っていきましょう。,カット済みの納品（肉・野菜）→歩留や人件費;現場の1秒が崩れると、客単価が300円下がる　動線の再設計術;開業3年以内に潰れる飲食店の共通点「自己流」は99％破滅の道;あなたの店、SNSやる前に現場の空気が整ってますか？;意思決定と合意形成
7,初期回収・返済など,投資回収期間に答えられへん経営者さん、まさかいませんよね？,「いつになったらこの借金返せるんやろ…」って、夜中にふと考えたりしてません？,毎月の売上と返済額だけ見て、なんとなく「いけてる」って思ってしまってる。,それ、めっちゃ危ないですよ。,気づいた時には資金ショート寸前。追加融資も断られて、店を畳むしかなくなるんです。,「開業資金、いくらかけたっけ…？」って、パッと数字が出てこないんとちゃいます？,わかります。日々の営業で忙しくて、そんな細かい計算後回しになりますよね。,「数字は苦手やし、誰かに任せたい」ってのが本音やったりする。,でも、自分のお店の健康状態を知らんまま運転するの、怖くないですか？,このあと、たった1つの計算式で、自分のお店の「完済ゴール」が明確に見える方法を話します。,ゴールが見えてるお店と、見えてへんお店とでは、日々の判断の精度が全然違います。,マラソンでゴール地点が分からんまま走ってるようなもんですよ。そらしんどいだけです。,まずやるべきは「投資回収期間」を計算すること。これだけです。,計算はシンプルで、「初期投資額 ÷ 年間の利益」。これで何年で回収できるかわかります。,まずは開業時にかかった費用を全部書き出して、去年の利益で割ってみてください。,この数字が見えた瞬間、「あと何年頑張ればええんや」って、目の前がめっちゃクリアになりますよ。,回収期間が長すぎるなら、計画の見直しが必要です。まずは自分の店の数字と向き合いましょ。,なぜこの店は夢を語ってるだけで予約が埋まるのか？;マクドナルドから真似すべき戦法;無意識のクセが命取り（所作は人格、ふるまいはブランド）;家族経営の強み;ECサイト伸ばしたいなら、お客様がどんな時に食べるか想像して
8,融資における最大額と自己資金,自己資金なんぼあったらええねん！その悩み、融資に落ちる人の典型的なパターンです。,なんとかしてお金借りたいけど、手元にはこれっぽっちしか無い…って焦ってませんか？,「想いさえ伝われば貸してくれるはず！」って、熱意だけで乗り切ろうとしてません？,その考え、めっちゃ危ないですよ。,結局、審査で「計画性なし」と判断されて一発アウト。開業の夢が遠のくだけですわ。,「自己資金って言われても、そんなすぐ用意できひんわ…」って思ってますよね？,僕も昔、お金のことで頭抱えてました。どんだけ良いアイデアがあっても、お金がないとスタートラインにも立てへんのが現実ですもんね。,ほんまは「借りれるだけ借りたい」のが本音。でも、それで足元すくわれた人を何人も見てきました。,気持ちは痛いほどわかります。でも、融資は情熱やなくて、数字で信用を証明するゲームなんです。,今日は、融資担当者が「この人なら貸したい」と思う自己資金のリアルな基準と、その作り方を具体的にお伝えします。,自己資金がしっかりあると交渉も有利に進むけど、ないと「ほんまにこの人、返せるんか？」って疑いの目で見られます。,自己資金って、お店でいう「仕込み」と一緒。仕込みが甘い店に、ええ料理は期待できひんでしょ？,結論、融資で借りたい額の最低でも3分の1は、自分で用意してください。,これは金融機関が「この人はちゃんと計画的にお金を貯められる人や」って判断する、最低ラインの証拠なんです。,毎月コツコツ貯めた通帳の履歴を見せるのが一番。見せ金やタンス預金はすぐバレますよ。,お金を貯める期間も、事業計画を練る大事な準備期間。焦らんで大丈夫です。,どれだけロマンを語っても、最後に見られるのは事業の実現性と返済能力。それが融資の世界のリアルです。,飲食経営に感情は要るのか？やりがいだけでは勝てない時代;Google口コミ＝QSC＋店舗内研修;人が辞めないチームの作り方　給与より信じたくなる空気があるか;バイトの意識が劇変する現場研修のやり方とは;今もコロナ前と同じやり方してる店　変わらないことがリスク
9,飲食店経営者におすすめのメディア（SNS・本）,「忙しいから勉強してへん」は、もう通用せえへんで。,毎日仕込みと営業でクタクタやのに、本読む時間なんかあるかいな…って思いますよね。,とりあえずネットで“飲食店 経営”って検索して、上に出てきた記事を流し読みして満足してませんか？,それ、ただの気休めです。,このままだと、周りの店は新しいこと始めてるのに、自分だけ時代遅れのやり方でジリ貧になっていきますよ。,「どうせ読んでもウチには関係ない話やろ」って、読む前から諦めてません？,情報が多すぎて、どれがホンマに自分の店のためになるんか、分からんようになりますよね。,正直、遠回りしたくないし、読むなら絶対役立つ情報だけ知りたい、ってのが本音やないですか？,その気持ちは痛いほどわかるけど、インプットを止めると、お店の成長も止まってしまいます。,今日はそんな忙しいオーナーのために、僕が現場でガチで役立った情報源だけを厳選してお伝えします。,ネットの無料記事と、プロが書いた雑誌の記事では、情報の“深さ”が全然ちゃいます。,情報収集って、明日の営業のための“仕込み”と一緒なんです。ええ食材を仕入れんと、ええ経営はできひんのです。,結論、この3冊だけは絶対に読んでください。,『飲食店経営』、『月刊食堂』、そして『近代食堂』。この3つです。,全部読まんでええ。自店の課題に近い特集記事を1つだけ読んで、1つだけ真似してみる。そっからで十分です。,ライバルが寝てる間に、自分だけこっそり差をつけられるって、ちょっとワクワクしませんか？,手前味噌やけど、僕の投稿も全部見ればかなり網羅できます。まずはこの投稿から見返せるようにしといてください。,アルバイトがプロになる職場　マニュアルより哲学が共有されてるか？;世間の長期休暇に勝つ店・負ける店　イベント任せはもう通用しない;googleマップの口コミ=顧客体験（小手先で上げれるものではない）;SNSなんて正直めんどい　でも伝える努力をやめへん理由;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き
10,肉を洗ってはいけない,お肉、洗ってたら食中毒起きますよ？,え、キレイにしてるつもりやのに？って思いましたよね。,パックから出したお肉、サッと水で流してませんか？,それ、一番やったらあかんやつです。,その水しぶきで菌がシンク中に飛び散って、サラダ用の野菜についたらもう終わりですよ。,血のドリップとか気になるし、洗った方が衛生的やって信じてますよね？,お客さんに安全なもん出したいって、その真面目な気持ちは痛いほど分かります。,でも、その良かれと思ってた一手間が、実は一番のリスクを産んでるんです。,知らんかった、では済まされへんのがプロの仕事です。,なんで肉を洗うのが危険なんか、ほんまの正しい衛生管理について今から話しますね。,洗うことで菌が拡散するリスクと、ペーパーで拭くだけの安全性。天と地ほどの差があります。,例えるなら、見えへん菌を霧吹きでキッチン中に撒き散らしてるようなもんですわ。,結論、生肉は絶対に洗わないでください。ドリップはキッチンペーパーで優しく拭き取る。これが正解です。,まな板と包丁は肉専用にする。使ったらすぐ熱湯消毒。当たり前やけど徹底してください。,もし衛生管理に少しでも不安があるなら、開業前に保健所に行って自身の理解を深めてください。基本から教えてくれます。,自分の店を守るため、そして何よりお客さんの笑顔を守るために、正しい知識を身につけましょ。,飲食店営業許可書は「お店やっていいよ」やない。安全に食事を提供できることに対する許可ですからね。,開業してから考えるな　今いるお客さんの視点から逆算しろ;CFの8つの型で自店の経営状況の判断を;なぜ新入社員のエンゲージメントが3年で低下するのか;繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店;歩留計算の仕方
11,人件費の下げ方,めんどくさっ！！ってオペレーション残してるの、なんでなん？それ人件費の無駄遣いですわ。,『人手は足りひんのに、人件費は高い…』って、毎月給与計算しながらため息ついてません？,仕込みが複雑なメニューとか、提供に時間かかるやつとか、『人気やからしゃあない』って見て見ぬフリしてません？,それ、気合で乗り切る話ちゃいますよ。,そのままやと、ベテランが辞めたら店が回らんようになって、売上もガタ落ち。最悪ですわ。,ほんまは『この作業、もっと楽にならんかな…』って思いながらも、日々の忙しさで後回しにしてません？,分かりますよ。長年やってきたやり方を変えるのって、めっちゃ勇気いりますもんね。,でも心の奥では、『このままじゃアカン』って気づいてるはずなんです。,その現状維持が、結果的にスタッフみんなの首を絞めてることに、そろそろ気づかなアカンです。,今日は、人を削るんやなくて、仕組みで人件費を賢く最適化する方法、具体的にお伝えしますわ。,作業が複雑な店と、シンプルな店。同じ売上でも、利益の残り方が全然ちゃいます。,今のオペレーションって、わざわざデコボコ道を選んで走ってるようなもん。もっとスムーズな道、あるんですよ。,答えはひとつ。メニューを考える時に、オペレーションまで設計することです。,ポイントは『仕込み』『保存』『提供スピード』。この3つを考え抜くだけで、現場は劇的に楽になります。,まずは今のメニューで一番手間がかかってるやつを1個だけ見直してみてください。そこから突破口が見つかります。,オペレーションが楽になると、スタッフに余裕が生まれて、お店の雰囲気も絶対良くなりますから。,人件費は無理して下げる時代から、賢く仕組み化するのがトレンドですわ。,価値を人に宿すと、集客が強くなる;売上目標の決め方;ネット情報の統一化;繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店;エリアリサーチ　主導線と副動線
